UNIX_TIME,ANGLE
1589789700,91.00418
1592065800,1.5238062
1591070400,69.87208
1590594300,1.9277098
1592278200,57.09006
1590810300,42.58969
1591900200,1.5149018
1590570900,46.984634
1591042500,1.0369138
1590936300,1.3150017
1591855200,77.15937
1589751000,0.21499169
1591090200,56.853836
1590570000,86.147964
1591121700,1.9241793
1591563600,1.7795863
1591939800,63.90238
1591151400,37.34
1590300900,86.13592
1591901100,1.5149018
1591075800,73.76677
1590967800,1.3150017
1591745400,1.7990861
1590649200,81.77179
1590205500,61.428017
1589706900,70.81493
1591721100,1.684624
1589780700,70.441635
1591661700,2.3100781
1591830900,1.8371476
1589496300,2.6249485
1589643900,2.4138706
1590117300,33.168182
1591634700,2.3100781
1590779700,1.0044206
1591692300,41.32341
1589651100,2.4138706
1591632900,2.3100781
1590276600,1.4108769
1590766200,1.8512657
1589716800,14.963669
1591888500,2.638628
1592150400,2.3330986
1591870500,65.038086
1590260400,1.4108769
1592415000,0.8984544
1591171200,74.027885
1589611500,71.64273
1590765300,1.9956443
1592286300,78.16618
1589582700,2.5339077
1591991100,1.3406537
1592142300,7.3241715
1592133300,36.316097
1591206300,2.36981
1591143300,1.9241793
1589759100,0.21499169
1591180200,49.79213
1590762600,1.9956443
1591788600,26.909115
1589773500,18.008566
1591196400,2.36981
1591473600,1.2917966
1589663700,2.4138706
1589665500,2.4138706
1589722200,1.8169974
1591092900,62.52664
1590536700,3.3317444
1591690500,60.896973
1589520600,72.22124
1591569000,1.9267558
1590429600,1.8634022
1589822100,1.6829904
1591836300,7.0353937
1592018100,54.40877
1592210700,55.248093
1590039000,84.98765
1592312400,8.994243
1591819200,1.8371476
1591130700,1.9241793
1589802300,18.728333
1590921900,17.479794
1592378100,81.57773
1592157600,2.3330986
1591636500,2.3100781
1590937200,1.3150017
1590857100,1.6106176
1591385400,2.7212036
1592149500,2.6648154
1592250300,1.454647
1591699500,37.755722
1591082100,81.343605
1589892300,4.9153094
1592260200,2.984339
1589616000,83.90329
1590318900,32.669277
1590156000,2.7182794
1592224200,11.378325
1590551100,60.884937
1591257600,68.42572
1590625800,8.483569
1591609500,67.85407
1590544800,27.122547
1592240400,1.454647
1591211700,2.36981
1591054200,2.6576068
1591722900,1.684624
1591195500,2.36981
1589673600,3.528679
1591827300,1.8371476
1590989400,77.73927
1589526900,81.147606
1589683500,42.258347
1589537700,48.30147
1591938900,63.118977
1592100900,32.849678
1591623000,2.3100781
1590661800,30.795322
1589887800,26.060282
1591389000,2.7212036
1589527800,70.8982
1591390800,2.7212036
1591475400,1.2917966
1590865200,1.6106176
1591835400,1.8371476
1591460100,1.2917966
1591038900,1.0369138
1591019100,1.0369138
1592220600,24.977997
1592010000,12.135679
1590151500,9.495144
1591602300,64.78603
1589863500,76.679565
1589544000,19.668247
1589924700,1.1984099
1592192700,74.85336
1590112800,36.453293
1591776000,86.455826
1590293700,40.60755
1590089400,2.1015286
1590050700,64.30969
1591335900,81.86234
1589858100,38.269085
1589930100,1.1984099
1589859900,48.98702
1592338500,1.2001753
1589687100,62.101738
1591610400,67.61821
1591539300,3.4187193
1591144200,9.7644825
1589898600,3.102349
1590858000,1.6106176
1591325100,50.02161
1591795800,1.8371476
1589992200,2.5352564
1591659000,2.3100781
1589874300,74.591965
1590638400,69.05537
1591543800,1.7795863
1592123400,80.16654
1589549400,6.2467647
1591790400,17.7471
1589733900,0.21499169
1592032500,86.49865
1589620500,66.179565
1590912000,55.4259
1589521500,76.99333
1591484400,1.2917966
1592306100,27.320402
1590274800,1.4108769
1589897700,4.9153094
1592002800,2.2364194
1590264000,1.4108769
1589627700,24.303608
1591366500,5.8414106
1591331400,82.48224
1591330500,49.39599
1592023500,71.63629
1589481000,1.0436332
1591317900,14.25536
1591747200,1.7990861
1590949800,1.3150017
1589752800,0.21499169
1590063300,11.205689
1590904800,85.087494
1589839200,1.6829904
1591799400,1.8371476
1592265600,6.86286
1589799600,38.8752
1589509800,28.339796
1589680800,24.80476
1591875900,24.280256
1589493600,1.6577634
1589574600,2.4123209
1590338700,1.216456
1591262100,74.38461
1589719500,7.94132
1590228000,62.865967
1589625000,25.826876
1589721300,1.8169974
1592409600,0.8984544
1590080400,2.1015286
1589656500,2.4138706
1592162100,2.3330986
1591465500,1.2917966
1592059500,1.5238062
1590074100,2.1015286
1589923800,1.1984099
1591353000,61.475662
1591552800,1.7795863
1591204500,2.36981
1590369300,14.201779
1592251200,1.454647
1590651900,72.38686
1590174000,2.6640434
1592283600,79.059395
1591920900,1.5149018
1590142500,37.63651
1590078600,2.1015286
1591178400,50.92827
1590232500,32.061455
1592212500,58.873676
1589779800,56.64043
1591426800,75.24762
1590553800,81.53399
1592303400,44.934036
1589882400,65.54277
1590077700,2.1015286
1589647500,2.4138706
1592406900,0.8984544
1591604100,76.08985
1589598900,50.81004
1591708500,2.3100781
1591450200,2.3406603
1590849900,1.6106176
1590938100,1.3150017
1591414200,40.303432
1591407900,27.549479
1590416100,1.8634022
1590820200,87.352295
1590560100,89.49846
1590075900,2.1015286
1589660100,2.4138706
1590229800,53.11195
1590678900,1.6961614
1589904900,1.1984099
1592168400,2.5586655
1590414300,1.8634022
1590490800,38.773415
1590534000,3.3317444
1592114400,83.68665
1589769000,8.639118
1590327900,1.216456
1590797700,-0.2983227
1590592500,1.9277098
1592188200,57.562122
1591930800,28.22904
1589712300,31.680445
1591574400,3.0420265
1590147900,16.297667
1590585300,1.9277098
1591712100,2.3100781
