UNIX_TIME,ANGLE_FULL
1589789700,87.97996981527702
1592065800,87.68039753150723
1591070400,87.69991548889533
1590594300,87.79840785947128
1592278200,67.96206509567192
1590810300,87.69991548889533
1591900200,87.5450316486759
1590570900,87.79840785947128
1591042500,87.69991548889533
1590936300,87.69991548889533
1591855200,87.5450316486759
1589751000,86.57700508277762
1591090200,87.69991548889533
1590570000,87.79840785947128
1591121700,87.69991548889533
1591563600,87.69991548889533
1591939800,87.20357620736232
1591151400,87.69991548889533
1590300900,87.68549739323883
1591901100,87.20357620736232
1591075800,87.69991548889533
1590967800,87.69991548889533
1591745400,87.5450316486759
1590649200,87.79840785947128
1590205500,87.68549739323883
1589706900,87.49854307926111
1591721100,87.69991548889533
1589780700,87.97996981527702
1591661700,87.69991548889533
1591830900,87.5450316486759
1589496300,1.517927708552161
1589643900,92.99042929120176
1590117300,87.68549739323883
1591634700,87.69991548889533
1590779700,87.69991548889533
1591692300,87.69991548889533
1589651100,92.99042929120176
1591632900,87.69991548889533
1590276600,87.68549739323883
1590766200,87.79840785947128
1589716800,88.81291399969975
1591888500,87.5450316486759
1592150400,86.97807055159741
1591870500,87.5450316486759
1590260400,87.68549739323883
1592415000,179.82133067186908
1591171200,87.69991548889533
1589611500,92.99042929120176
1590765300,87.79840785947128
1592286300,67.96206509567192
1589582700,77.71789101181093
1591991100,86.47216756662482
1592142300,86.97807055159741
1592133300,86.97807055159741
1591206300,87.69991548889533
1591143300,87.69991548889533
1589759100,86.57700508277762
1591180200,87.69991548889533
1590762600,87.79840785947128
1591788600,87.5450316486759
1589773500,86.57700508277762
1591196400,87.69991548889533
1591473600,87.69991548889533
1589663700,87.49854307926111
1589665500,87.49854307926111
1589722200,88.81291399969975
1591092900,87.69991548889533
1590536700,87.79840785947128
1591690500,87.69991548889533
1589520600,102.2442138431075
1591569000,87.69991548889533
1590429600,87.79840785947128
1589822100,87.97996981527702
1591836300,87.5450316486759
1592018100,86.75812864152815
1592210700,86.97807055159741
1590039000,87.68549739323883
1592312400,160.8605470549533
1591819200,87.5450316486759
1591130700,87.69991548889533
1589802300,87.97996981527702
1590921900,87.69991548889533
1592378100,92.78836647772201
1592157600,86.97807055159741
1591636500,87.69991548889533
1590937200,87.69991548889533
1590857100,87.69991548889533
1591385400,87.69991548889533
1592149500,86.97807055159741
1592250300,67.96206509567192
1591699500,87.69991548889533
1591082100,87.69991548889533
1589892300,88.14027565115457
1592260200,67.96206509567192
1589616000,92.99042929120176
1590318900,87.68549739323883
1590156000,87.68549739323883
1592224200,86.97807055159741
1590551100,87.79840785947128
1591257600,87.69991548889533
1590625800,87.79840785947128
1591609500,87.69991548889533
1590544800,87.79840785947128
1592240400,86.97807055159741
1591211700,87.69991548889533
1591054200,87.69991548889533
1591722900,87.69991548889533
1591195500,87.69991548889533
1589673600,87.49854307926111
1591827300,87.5450316486759
1590989400,87.69991548889533
1589526900,104.82237330957851
1589683500,87.49854307926111
1589537700,108.22886723191758
1591938900,87.20357620736232
1592100900,86.97807055159741
1591623000,87.69991548889533
1590661800,87.79840785947128
1589887800,88.14027565115457
1591389000,87.69991548889533
1589527800,104.82237330957851
1591390800,87.69991548889533
1591475400,87.69991548889533
1590865200,87.69991548889533
1591835400,87.5450316486759
1591460100,87.69991548889533
1591038900,87.69991548889533
1591019100,87.69991548889533
1592220600,86.97807055159741
1592010000,86.47216756662482
1590151500,87.68549739323883
1591602300,87.69991548889533
1589863500,86.78879076270596
1589544000,113.32960278738823
1589924700,87.53820658146341
1592192700,86.97807055159741
1590112800,87.68549739323883
1591776000,87.5450316486759
1590293700,87.68549739323883
1590089400,87.68549739323883
1590050700,87.68549739323883
1591335900,87.69991548889533
1589858100,86.78879076270596
1589930100,87.53820658146341
1589859900,86.78879076270596
1592338500,14.20319411960732
1589687100,87.49854307926111
1591610400,87.69991548889533
1591539300,87.69991548889533
1591144200,87.69991548889533
1589898600,88.14027565115457
1590858000,87.69991548889533
1591325100,87.69991548889533
1591795800,87.5450316486759
1589992200,87.68549739323883
1591659000,87.69991548889533
1589874300,88.14027565115457
1590638400,87.79840785947128
1591543800,87.69991548889533
1592123400,86.97807055159741
1589549400,116.59232164830705
1591790400,87.5450316486759
1589733900,88.81291399969975
1592032500,87.68039753150723
1589620500,92.99042929120176
1590912000,87.69991548889533
1589521500,103.10667815140485
